"","город","Улица","Дом","Дата","lonlat","yandex_adress","ya_street"
"131","Москoвская Область","Одинцовский район, пос. Заречье, Весенняя","2","25.03.2020","37.400737   55.695651","Россия, Московская область, Одинцовский городской округ, рабочий посёлок Заречье, Весенняя улица, 2к1","Одинцовский городской округ, рабочий посёлок Заречье, Весенняя улица, 2к1"
"132","Москoвская Область","одинцовский район, маслово","118","25.03.2020","37.062072   55.744262","Россия, Московская область, Одинцовский городской округ, деревня Маслово","Одинцовский городской округ, деревня Маслово"
"133","Москoвская Область","Одинцово, СНТ ""Корабельные Сосны""","","25.03.2020","37.037674   55.748179","Россия, Московская область, Одинцовский городской округ, садовое товарищество Корабельные Сосны","Одинцовский городской округ, садовое товарищество Корабельные Сосны"
"134","Москoвская Область","Коломна, Цементников","26","25.03.2020","38.844599   55.049493","Россия, Московская область, Коломна, улица Цементников, 26","Коломна, улица Цементников, 26"
"135","Москoвская Область","Красногорск, Спасская","4","25.03.2020","37.369107   55.825613","Россия, Московская область, Красногорск, Спасская улица, 4","Красногорск, Спасская улица, 4"
"136","Москoвская Область","Балашиха, Лётная","1","25.03.2020","37.943553   55.821462","Россия, Московская область, Балашиха, 30-й микрорайон, Лётная улица, 1","Балашиха, 30-й микрорайон, Лётная улица, 1"
"137","Москoвская Область","Люберцы, 3-е Почтовое отделение","2","25.03.2020","37.877967   55.679524","Россия, Московская область, Люберцы, микрорайон Городок А, улица 3-е Почтовое Отделение, 2","Люберцы, микрорайон Городок А, улица 3-е Почтовое Отделение, 2"
"138","Москoвская Область","Солнечногорский р-н, д. Мышецкое","2А, корп. 13","25.03.2020","37.365433   56.038584","Россия, Московская область, городской округ Солнечногорск, деревня Мышецкое, 2А","городской округ Солнечногорск, деревня Мышецкое, 2А"
"172","Москoвская Область","Одинцово, Кутузовская","25","26.03.2020","37.325261   55.706284","Россия, Московская область, Одинцово, микрорайон Новая Трёхгорка, Кутузовская улица, 25","Одинцово, микрорайон Новая Трёхгорка, Кутузовская улица, 25"
"173","Москoвская Область","Люберцы, 3-е Почтовое отделение","3","26.03.2020","37.879827   55.680697","Россия, Московская область, Люберцы, микрорайон Городок А, улица 3-е Почтовое Отделение, 3","Люберцы, микрорайон Городок А, улица 3-е Почтовое Отделение, 3"
"174","Москoвская Область","Долгопрудный, Лихачёвское ш.","1/4","26.03.2020","37.489473   55.937568","Россия, Московская область, Долгопрудный, Лихачёвское шоссе, 1к4","Долгопрудный, Лихачёвское шоссе, 1к4"
"175","Москoвская Область","Одинцовский район, КП ""Любушкин Хутор""","16","26.03.2020","37.142912   55.720803","Россия, Московская область, Одинцовский городской округ, коттеджный посёлок Любушкин Хутор, 16","Одинцовский городской округ, коттеджный посёлок Любушкин Хутор, 16"
"176","Москoвская Область","Балашиха, Третьяка","4","26.03.2020","37.951521   55.82131","Россия, Московская область, Балашиха, 30-й микрорайон, улица Третьяка, 4","Балашиха, 30-й микрорайон, улица Третьяка, 4"
"177","Москoвская Область","Дубна, Боголюбова","15","26.03.2020","37.165405   56.737155","Россия, Московская область, Дубна, проспект Боголюбова, 15","Дубна, проспект Боголюбова, 15"
"178","Москoвская Область","Ленинский район, СНТ ""Мещерино-Чурилково"", ул. Солнечная","59","26.03.2020","37.823592   55.490304","Россия, Московская область, Ленинский городской округ, посёлок Мещерино, СНТ Мещерино-Чурилково, 59","Ленинский городской округ, посёлок Мещерино, СНТ Мещерино-Чурилково, 59"
"179","Москoвская Область","Химки, Куркинское ш.","40","26.03.2020","37.425009   55.882762","Россия, Московская область, Химки, Куркинское шоссе","Химки, Куркинское шоссе"
"180","Москoвская Область","Щёлково, Беляева","30","26.03.2020","38.073306   55.887629","Россия, Московская область, Щёлково, улица Беляева, 30","Щёлково, улица Беляева, 30"
"236","Москoвская Область","Одинцовский район, Овражная","47","27.03.2020","37.38039   55.713491","Россия, Московская область, Одинцовский городской округ, рабочий посёлок Новоивановское, Овражная улица, 47А","Одинцовский городской округ, рабочий посёлок Новоивановское, Овражная улица, 47А"
"237","Москoвская Область","Кашира, Вахрушева","","27.03.2020","38.246546   54.837773","Россия, Московская область, Кашира, улица Вахрушева","Кашира, улица Вахрушева"
"238","Москoвская Область","Носовихинское ш.","27","27.03.2020","37.87688   55.749557","Россия, Московская область, Реутов, Носовихинское шоссе, 27","Реутов, Носовихинское шоссе, 27"
"239","Москoвская Область","Химки, Набережный пр-д","1","27.03.2020","37.443155   55.960251","Россия, Московская область, Химки, квартал Клязьма, Набережный проезд, 1","Химки, квартал Клязьма, Набережный проезд, 1"
"240","Москoвская Область","Дмитровский район, пос. Подосинки, Широкая","74","27.03.2020","37.571543   56.199211","Россия, Московская область, Дмитровский городской округ, территория Объединение Подосинки, Широкая улица, 72А","Дмитровский городской округ, территория Объединение Подосинки, Широкая улица, 72А"
"241","Москoвская Область","Одинцовский район, д. Жуковка","","27.03.2020","37.25318   55.737963","Россия, Московская область, Одинцовский городской округ, деревня Жуковка","Одинцовский городской округ, деревня Жуковка"
"242","Москoвская Область","Одинцовский округ, пос. ВНИИССОК, ул. Михаила Кутузова","15","27.03.2020","37.219529   55.660028","Россия, Московская область, Одинцовский городской округ, посёлок ВНИИССОК, улица Михаила Кутузова, 15","Одинцовский городской округ, посёлок ВНИИССОК, улица Михаила Кутузова, 15"
