"","X","Дата","Область","Округ","Населённый_пункт","Тип","Район","Улица","Дом","lonlat","yandex_adress"
"1",131,"25.03.2020","Москoвская Область","Одинцовский городской округ","рабочий посёлок Заречье","посёлок",NA,"Весенняя улица","2к1","37.400737   55.695651","Россия, Московская область, Одинцовский городской округ, рабочий посёлок Заречье, Весенняя улица, 2к1"
"2",132,"25.03.2020","Москoвская Область","Одинцовский городской округ","деревня Маслово","деревня",NA,NA,NA,"37.062072   55.744262","Россия, Московская область, Одинцовский городской округ, деревня Маслово"
"3",133,"25.03.2020","Москoвская Область","Одинцовский городской округ","садовое товарищество Корабельные Сосны","дачный посёлок",NA,NA,NA,"37.037674   55.748179","Россия, Московская область, Одинцовский городской округ, садовое товарищество Корабельные Сосны"
"4",134,"25.03.2020","Москoвская Область","Коломна","Коломна","город",NA,"улица Цементников","26","38.844599   55.049493","Россия, Московская область, Коломна, улица Цементников, 26"
"5",135,"25.03.2020","Москoвская Область","Красногорск","Красногорск","город",NA,"Спасская улица","4","37.369107   55.825613","Россия, Московская область, Красногорск, Спасская улица, 4"
"6",136,"25.03.2020","Москoвская Область","Балашиха","Балашиха","город","30-й микрорайон","Лётная улица","1","37.943553   55.821462","Россия, Московская область, Балашиха, 30-й микрорайон, Лётная улица, 1"
"7",137,"25.03.2020","Москoвская Область","Люберцы","Люберцы","город","микрорайон Городок А","улица 3-е Почтовое Отделение","2","37.877967   55.679524","Россия, Московская область, Люберцы, микрорайон Городок А, улица 3-е Почтовое Отделение, 2"
"8",138,"25.03.2020","Москoвская Область","городской округ Солнечногорск","деревня Мышецкое","деревня",NA,NA,"2А","37.365433   56.038584","Россия, Московская область, городской округ Солнечногорск, деревня Мышецкое, 2А"
"9",172,"26.03.2020","Москoвская Область","Одинцово","Одинцово","город","микрорайон Новая Трёхгорка","Кутузовская улица","25","37.325261   55.706284","Россия, Московская область, Одинцово, микрорайон Новая Трёхгорка, Кутузовская улица, 25"
"10",173,"26.03.2020","Москoвская Область","Люберцы","Люберцы","город","микрорайон Городок А",NA,"3","37.879827   55.680697","Россия, Московская область, Люберцы, микрорайон Городок А, улица 3-е Почтовое Отделение, 3"
"11",174,"26.03.2020","Москoвская Область","Долгопрудный","Долгопрудный","город",NA,"Лихачёвское шоссе","1к4","37.489473   55.937568","Россия, Московская область, Долгопрудный, Лихачёвское шоссе, 1к4"
"12",175,"26.03.2020","Москoвская Область","Одинцовский городской округ","коттеджный посёлок Любушкин Хутор","посёлок",NA,NA,"16","37.142912   55.720803","Россия, Московская область, Одинцовский городской округ, коттеджный посёлок Любушкин Хутор, 16"
"13",176,"26.03.2020","Москoвская Область","Балашиха","Балашиха","город","30-й микрорайон","улица Третьяка","4","37.951521   55.82131","Россия, Московская область, Балашиха, 30-й микрорайон, улица Третьяка, 4"
"14",177,"26.03.2020","Москoвская Область","Дубна","Дубна","город",NA,"проспект Боголюбова","15","37.165405   56.737155","Россия, Московская область, Дубна, проспект Боголюбова, 15"
"15",178,"26.03.2020","Москoвская Область","Ленинский городской округ","посёлок Мещерино","посёлок",NA,"СНТ Мещерино-Чурилково","59","37.823592   55.490304","Россия, Московская область, Ленинский городской округ, посёлок Мещерино, СНТ Мещерино-Чурилково, 59"
